fiscal_year,year,month,month_name,season,store_name,category,price_band,channel,bills,units,revenue,gross_margin
FY2024-25,2024,4,April,Wedding,RS Puram,Silk Saree,Premium,Online,11,14,182690.28,43845.68
FY2024-25,2024,4,April,Wedding,RS Puram,Silk Saree,Premium,Walk-in,48,56,700433.02,168103.94
FY2024-25,2024,4,April,Wedding,RS Puram,Silk Saree,Premium,WhatsApp Order,18,23,319522.73,76685.47
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Accessories,Value,Exhibition Stall,23,34,12823.39,5898.77
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Accessories,Value,Online,11,12,5088.75,2340.83
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Accessories,Value,Walk-in,98,113,47005.52,21622.55
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Accessories,Value,WhatsApp Order,32,44,19930.52,9168.05
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,65,76,110472.31,34246.4
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Cotton Saree,Value,Online,28,35,50043.22,15513.38
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Cotton Saree,Value,Walk-in,178,219,312230.05,96791.33
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,61,75,111513.97,34569.36
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,75,93,265371.55,90226.3
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Fancy Saree,Mid,Online,32,38,126440.92,42989.92
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Fancy Saree,Mid,Walk-in,167,197,614418.33,208902.18
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,46,58,186941.01,63559.95
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Kids Wear,Value,Exhibition Stall,28,31,26850.59,11008.74
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Kids Wear,Value,Online,13,19,17399.76,7133.89
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Kids Wear,Value,Walk-in,81,92,89333.83,36626.93
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Kids Wear,Value,WhatsApp Order,20,25,24962.8,10234.75
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Readymade,Mid,Exhibition Stall,49,65,143641.72,54583.87
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Readymade,Mid,Online,17,25,59480.56,22602.61
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Readymade,Mid,Walk-in,130,154,341489.67,129766.07
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Readymade,Mid,WhatsApp Order,38,42,99377.97,37763.61
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,26,33,383908.45,92138.01
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Silk Saree,Premium,Online,12,14,183160.44,43958.51
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Silk Saree,Premium,Walk-in,77,91,1174061.24,281774.74
FY2024-25,2024,5,May,Wedding,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,25,34,460597.06,110543.26
FY2024-25,2024,5,May,Wedding,RS Puram,Accessories,Value,Exhibition Stall,33,38,15979.91,7350.76
FY2024-25,2024,5,May,Wedding,RS Puram,Accessories,Value,Online,12,15,6323.64,2908.87
FY2024-25,2024,5,May,Wedding,RS Puram,Accessories,Value,Walk-in,60,83,36145.36,16626.89
FY2024-25,2024,5,May,Wedding,RS Puram,Accessories,Value,WhatsApp Order,25,32,12851.26,5911.59
FY2024-25,2024,5,May,Wedding,RS Puram,Cotton Saree,Value,Exhibition Stall,45,53,75402.42,23374.76
FY2024-25,2024,5,May,Wedding,RS Puram,Cotton Saree,Value,Online,15,19,27658.24,8574.06
FY2024-25,2024,5,May,Wedding,RS Puram,Cotton Saree,Value,Walk-in,137,171,247737.3,76798.59
FY2024-25,2024,5,May,Wedding,RS Puram,Cotton Saree,Value,WhatsApp Order,25,30,45005.86,13951.82
FY2024-25,2024,5,May,Wedding,RS Puram,Fancy Saree,Mid,Exhibition Stall,61,69,193845.71,65907.54
FY2024-25,2024,5,May,Wedding,RS Puram,Fancy Saree,Mid,Online,15,18,53654.97,18242.7
FY2024-25,2024,5,May,Wedding,RS Puram,Fancy Saree,Mid,Walk-in,133,176,554973.5,188690.98
FY2024-25,2024,5,May,Wedding,RS Puram,Fancy Saree,Mid,WhatsApp Order,40,46,149220.58,50734.99
FY2024-25,2024,5,May,Wedding,RS Puram,Kids Wear,Value,Exhibition Stall,15,17,14922.79,6118.34
FY2024-25,2024,5,May,Wedding,RS Puram,Kids Wear,Value,Online,6,7,6886.92,2823.64
FY2024-25,2024,5,May,Wedding,RS Puram,Kids Wear,Value,Walk-in,54,70,73994.97,30337.95
FY2024-25,2024,5,May,Wedding,RS Puram,Kids Wear,Value,WhatsApp Order,18,24,25095.58,10289.18
FY2024-25,2024,5,May,Wedding,RS Puram,Readymade,Mid,Exhibition Stall,28,33,66687.54,25341.28
FY2024-25,2024,5,May,Wedding,RS Puram,Readymade,Mid,Online,12,17,42192.17,16033.03
FY2024-25,2024,5,May,Wedding,RS Puram,Readymade,Mid,Walk-in,81,89,202687.02,77021.09
FY2024-25,2024,5,May,Wedding,RS Puram,Readymade,Mid,WhatsApp Order,28,34,74243.82,28212.67
FY2024-25,2024,5,May,Wedding,RS Puram,Silk Saree,Premium,Exhibition Stall,22,27,364735.7,87536.57
FY2024-25,2024,5,May,Wedding,RS Puram,Silk Saree,Premium,Online,3,4,55641.58,13353.98
FY2024-25,2024,5,May,Wedding,RS Puram,Silk Saree,Premium,Walk-in,44,53,642164.4,154119.45
FY2024-25,2024,5,May,Wedding,RS Puram,Silk Saree,Premium,WhatsApp Order,14,15,166663.44,39999.23
FY2024-25,2024,6,June,Lean,Cross Cut Road,Accessories,Value,Exhibition Stall,44,53,19060.74,8767.93
FY2024-25,2024,6,June,Lean,Cross Cut Road,Accessories,Value,Online,11,12,5038.56,2317.74
FY2024-25,2024,6,June,Lean,Cross Cut Road,Accessories,Value,Walk-in,101,129,56041.92,25779.28
FY2024-25,2024,6,June,Lean,Cross Cut Road,Accessories,Value,WhatsApp Order,27,28,11775.16,5416.58
FY2024-25,2024,6,June,Lean,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,45,54,73049.66,22645.44
FY2024-25,2024,6,June,Lean,Cross Cut Road,Cotton Saree,Value,Online,23,29,40519.42,12561.03
FY2024-25,2024,6,June,Lean,Cross Cut Road,Cotton Saree,Value,Walk-in,155,181,263527.9,81693.62
FY2024-25,2024,6,June,Lean,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,42,52,77277.04,23955.88
FY2024-25,2024,6,June,Lean,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,45,59,174808.0,59434.74
FY2024-25,2024,6,June,Lean,Cross Cut Road,Fancy Saree,Mid,Online,18,22,68310.93,23225.72
FY2024-25,2024,6,June,Lean,Cross Cut Road,Fancy Saree,Mid,Walk-in,132,156,510044.12,173414.95
FY2024-25,2024,6,June,Lean,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,35,47,140046.38,47615.78
FY2024-25,2024,6,June,Lean,Cross Cut Road,Kids Wear,Value,Exhibition Stall,17,22,19463.93,7980.22
FY2024-25,2024,6,June,Lean,Cross Cut Road,Kids Wear,Value,Online,5,9,9391.51,3850.51
FY2024-25,2024,6,June,Lean,Cross Cut Road,Kids Wear,Value,Walk-in,54,73,69477.2,28485.64
FY2024-25,2024,6,June,Lean,Cross Cut Road,Kids Wear,Value,WhatsApp Order,22,27,22674.07,9296.36
FY2024-25,2024,6,June,Lean,Cross Cut Road,Readymade,Mid,Exhibition Stall,27,31,59449.55,22590.81
FY2024-25,2024,6,June,Lean,Cross Cut Road,Readymade,Mid,Online,18,21,40939.9,15557.15
FY2024-25,2024,6,June,Lean,Cross Cut Road,Readymade,Mid,Walk-in,108,127,293884.11,111675.95
FY2024-25,2024,6,June,Lean,Cross Cut Road,Readymade,Mid,WhatsApp Order,33,37,88803.23,33745.22
FY2024-25,2024,6,June,Lean,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,18,20,247415.86,59379.81
FY2024-25,2024,6,June,Lean,Cross Cut Road,Silk Saree,Premium,Online,10,11,130434.98,31304.41
FY2024-25,2024,6,June,Lean,Cross Cut Road,Silk Saree,Premium,Walk-in,49,62,778349.59,186803.88
FY2024-25,2024,6,June,Lean,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,12,14,174988.4,41997.2
FY2024-25,2024,6,June,Lean,RS Puram,Accessories,Value,Exhibition Stall,18,23,9239.24,4250.06
FY2024-25,2024,6,June,Lean,RS Puram,Accessories,Value,Online,8,9,3778.94,1738.31
FY2024-25,2024,6,June,Lean,RS Puram,Accessories,Value,Walk-in,44,56,22933.79,10549.55
FY2024-25,2024,6,June,Lean,RS Puram,Accessories,Value,WhatsApp Order,21,27,11765.69,5412.23
FY2024-25,2024,6,June,Lean,RS Puram,Cotton Saree,Value,Exhibition Stall,50,62,77669.78,24077.65
FY2024-25,2024,6,June,Lean,RS Puram,Cotton Saree,Value,Online,16,18,27103.79,8402.2
FY2024-25,2024,6,June,Lean,RS Puram,Cotton Saree,Value,Walk-in,94,117,166265.55,51542.29
FY2024-25,2024,6,June,Lean,RS Puram,Cotton Saree,Value,WhatsApp Order,35,42,60308.16,18695.55
FY2024-25,2024,6,June,Lean,RS Puram,Fancy Saree,Mid,Exhibition Stall,27,32,94772.79,32222.76
FY2024-25,2024,6,June,Lean,RS Puram,Fancy Saree,Mid,Online,18,20,50189.69,17064.49
FY2024-25,2024,6,June,Lean,RS Puram,Fancy Saree,Mid,Walk-in,81,102,327385.16,111310.97
FY2024-25,2024,6,June,Lean,RS Puram,Fancy Saree,Mid,WhatsApp Order,22,30,89450.02,30412.99
FY2024-25,2024,6,June,Lean,RS Puram,Kids Wear,Value,Exhibition Stall,16,18,16663.15,6831.89
FY2024-25,2024,6,June,Lean,RS Puram,Kids Wear,Value,Online,6,7,5536.07,2269.79
FY2024-25,2024,6,June,Lean,RS Puram,Kids Wear,Value,Walk-in,55,67,64125.97,26291.65
FY2024-25,2024,6,June,Lean,RS Puram,Kids Wear,Value,WhatsApp Order,17,19,18316.62,7509.82
FY2024-25,2024,6,June,Lean,RS Puram,Readymade,Mid,Exhibition Stall,26,31,62384.12,23705.94
FY2024-25,2024,6,June,Lean,RS Puram,Readymade,Mid,Online,7,8,20986.5,7974.88
FY2024-25,2024,6,June,Lean,RS Puram,Readymade,Mid,Walk-in,65,76,173603.42,65969.31
FY2024-25,2024,6,June,Lean,RS Puram,Readymade,Mid,WhatsApp Order,28,40,89960.23,34184.92
FY2024-25,2024,6,June,Lean,RS Puram,Silk Saree,Premium,Exhibition Stall,19,24,271843.91,65242.53
FY2024-25,2024,6,June,Lean,RS Puram,Silk Saree,Premium,Online,6,9,99420.87,23860.99
FY2024-25,2024,6,June,Lean,RS Puram,Silk Saree,Premium,Walk-in,35,42,544818.88,130756.55
FY2024-25,2024,6,June,Lean,RS Puram,Silk Saree,Premium,WhatsApp Order,10,11,130395.83,31295.0
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Accessories,Value,Exhibition Stall,19,25,11604.97,5338.27
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Accessories,Value,Online,3,3,1296.41,596.34
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Accessories,Value,Walk-in,60,76,31433.2,14459.24
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Accessories,Value,WhatsApp Order,26,30,10840.47,4986.6
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,26,34,48395.04,15002.47
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Cotton Saree,Value,Online,15,17,25989.64,8056.78
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Cotton Saree,Value,Walk-in,105,123,182362.11,56532.34
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,33,39,58953.42,18275.58
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,30,42,139612.99,47468.41
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Fancy Saree,Mid,Online,10,10,29900.09,10166.04
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Fancy Saree,Mid,Walk-in,88,107,337478.08,114742.53
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,24,31,96319.99,32748.79
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Kids Wear,Value,Exhibition Stall,14,17,14228.64,5833.73
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Kids Wear,Value,Online,6,6,4828.6,1979.72
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Kids Wear,Value,Walk-in,50,58,56863.31,23313.97
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Kids Wear,Value,WhatsApp Order,11,11,10380.94,4256.18
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Readymade,Mid,Exhibition Stall,33,39,80222.79,30484.66
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Readymade,Mid,Online,7,9,16481.34,6262.92
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Readymade,Mid,Walk-in,56,64,135401.92,51452.77
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Readymade,Mid,WhatsApp Order,26,30,65071.24,24727.07
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,16,20,261067.81,62656.27
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Silk Saree,Premium,Online,9,11,159355.94,38245.44
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Silk Saree,Premium,Walk-in,42,60,792409.88,190178.37
FY2024-25,2024,7,July,Aadi,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,15,17,248220.09,59572.82
FY2024-25,2024,7,July,Aadi,RS Puram,Accessories,Value,Exhibition Stall,16,23,8629.17,3969.41
FY2024-25,2024,7,July,Aadi,RS Puram,Accessories,Value,Online,7,7,2803.73,1289.71
FY2024-25,2024,7,July,Aadi,RS Puram,Accessories,Value,Walk-in,33,41,17505.44,8052.49
FY2024-25,2024,7,July,Aadi,RS Puram,Accessories,Value,WhatsApp Order,15,15,6994.31,3217.39
FY2024-25,2024,7,July,Aadi,RS Puram,Cotton Saree,Value,Exhibition Stall,22,31,43980.76,13634.02
FY2024-25,2024,7,July,Aadi,RS Puram,Cotton Saree,Value,Online,14,14,18732.81,5807.16
FY2024-25,2024,7,July,Aadi,RS Puram,Cotton Saree,Value,Walk-in,66,83,126277.08,39145.87
FY2024-25,2024,7,July,Aadi,RS Puram,Cotton Saree,Value,WhatsApp Order,17,17,28798.44,8927.51
FY2024-25,2024,7,July,Aadi,RS Puram,Fancy Saree,Mid,Exhibition Stall,22,24,73222.25,24895.55
FY2024-25,2024,7,July,Aadi,RS Puram,Fancy Saree,Mid,Online,9,10,30846.07,10487.66
FY2024-25,2024,7,July,Aadi,RS Puram,Fancy Saree,Mid,Walk-in,44,55,174310.1,59265.4
FY2024-25,2024,7,July,Aadi,RS Puram,Fancy Saree,Mid,WhatsApp Order,17,20,73150.09,24871.05
FY2024-25,2024,7,July,Aadi,RS Puram,Kids Wear,Value,Exhibition Stall,7,8,7430.72,3046.58
FY2024-25,2024,7,July,Aadi,RS Puram,Kids Wear,Value,Online,2,2,1985.09,813.89
FY2024-25,2024,7,July,Aadi,RS Puram,Kids Wear,Value,Walk-in,32,36,37992.05,15576.76
FY2024-25,2024,7,July,Aadi,RS Puram,Kids Wear,Value,WhatsApp Order,10,11,11277.31,4623.72
FY2024-25,2024,7,July,Aadi,RS Puram,Readymade,Mid,Exhibition Stall,16,18,37200.6,14136.24
FY2024-25,2024,7,July,Aadi,RS Puram,Readymade,Mid,Online,6,9,18321.36,6962.12
FY2024-25,2024,7,July,Aadi,RS Puram,Readymade,Mid,Walk-in,46,48,110308.07,41917.07
FY2024-25,2024,7,July,Aadi,RS Puram,Readymade,Mid,WhatsApp Order,12,17,39733.07,15098.57
FY2024-25,2024,7,July,Aadi,RS Puram,Silk Saree,Premium,Exhibition Stall,12,18,203447.47,48827.4
FY2024-25,2024,7,July,Aadi,RS Puram,Silk Saree,Premium,Online,1,1,5760.0,1382.4
FY2024-25,2024,7,July,Aadi,RS Puram,Silk Saree,Premium,Walk-in,27,31,356662.15,85598.91
FY2024-25,2024,7,July,Aadi,RS Puram,Silk Saree,Premium,WhatsApp Order,9,12,131170.71,31480.97
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Accessories,Value,Exhibition Stall,36,48,20560.27,9457.69
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Accessories,Value,Online,10,14,7521.96,3460.09
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Accessories,Value,Walk-in,72,91,38100.21,17526.1
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Accessories,Value,WhatsApp Order,21,25,9948.41,4576.28
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,31,41,55053.44,17066.6
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Cotton Saree,Value,Online,12,15,24316.03,7537.98
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Cotton Saree,Value,Walk-in,98,117,168909.25,52361.87
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,32,37,56787.23,17604.04
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,27,34,106060.61,36060.62
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Fancy Saree,Mid,Online,12,13,45918.93,15612.44
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Fancy Saree,Mid,Walk-in,80,94,295408.87,100439.02
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,23,29,102517.89,34856.04
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Kids Wear,Value,Exhibition Stall,19,22,17585.11,7209.91
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Kids Wear,Value,Online,10,12,10333.44,4236.71
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Kids Wear,Value,Walk-in,46,56,54183.2,22215.12
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Kids Wear,Value,WhatsApp Order,10,12,11696.2,4795.45
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Readymade,Mid,Exhibition Stall,29,31,67242.42,25552.12
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Readymade,Mid,Online,8,12,30681.03,11658.8
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Readymade,Mid,Walk-in,78,93,196057.13,74501.68
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Readymade,Mid,WhatsApp Order,29,32,76623.24,29116.83
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,10,10,124261.56,29822.79
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Silk Saree,Premium,Online,8,8,102162.43,24518.98
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Silk Saree,Premium,Walk-in,28,29,375901.83,90216.45
FY2024-25,2024,8,August,Aadi,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,8,8,105380.53,25291.32
FY2024-25,2024,8,August,Aadi,RS Puram,Accessories,Value,Exhibition Stall,20,25,9931.56,4568.51
FY2024-25,2024,8,August,Aadi,RS Puram,Accessories,Value,Online,6,7,3145.46,1446.92
FY2024-25,2024,8,August,Aadi,RS Puram,Accessories,Value,Walk-in,46,54,23167.87,10657.17
FY2024-25,2024,8,August,Aadi,RS Puram,Accessories,Value,WhatsApp Order,21,22,9157.05,4212.25
FY2024-25,2024,8,August,Aadi,RS Puram,Cotton Saree,Value,Exhibition Stall,24,31,43977.19,13632.9
FY2024-25,2024,8,August,Aadi,RS Puram,Cotton Saree,Value,Online,6,9,14355.59,4450.23
FY2024-25,2024,8,August,Aadi,RS Puram,Cotton Saree,Value,Walk-in,64,80,118898.67,36858.6
FY2024-25,2024,8,August,Aadi,RS Puram,Cotton Saree,Value,WhatsApp Order,25,29,45810.16,14201.17
FY2024-25,2024,8,August,Aadi,RS Puram,Fancy Saree,Mid,Exhibition Stall,28,32,93198.62,31687.55
FY2024-25,2024,8,August,Aadi,RS Puram,Fancy Saree,Mid,Online,7,7,17438.27,5929.02
FY2024-25,2024,8,August,Aadi,RS Puram,Fancy Saree,Mid,Walk-in,66,80,238881.17,81219.59
FY2024-25,2024,8,August,Aadi,RS Puram,Fancy Saree,Mid,WhatsApp Order,20,23,64431.91,21906.85
FY2024-25,2024,8,August,Aadi,RS Puram,Kids Wear,Value,Exhibition Stall,17,20,18038.44,7395.76
FY2024-25,2024,8,August,Aadi,RS Puram,Kids Wear,Value,Online,4,4,3580.66,1468.08
FY2024-25,2024,8,August,Aadi,RS Puram,Kids Wear,Value,Walk-in,44,56,59548.74,24414.97
FY2024-25,2024,8,August,Aadi,RS Puram,Kids Wear,Value,WhatsApp Order,6,8,8098.62,3320.44
FY2024-25,2024,8,August,Aadi,RS Puram,Readymade,Mid,Exhibition Stall,19,22,48393.01,18389.34
FY2024-25,2024,8,August,Aadi,RS Puram,Readymade,Mid,Online,6,6,10095.48,3836.28
FY2024-25,2024,8,August,Aadi,RS Puram,Readymade,Mid,Walk-in,52,59,132844.85,50481.04
FY2024-25,2024,8,August,Aadi,RS Puram,Readymade,Mid,WhatsApp Order,11,11,23671.13,8995.03
FY2024-25,2024,8,August,Aadi,RS Puram,Silk Saree,Premium,Exhibition Stall,13,15,177183.94,42524.14
FY2024-25,2024,8,August,Aadi,RS Puram,Silk Saree,Premium,Online,4,4,59420.71,14260.97
FY2024-25,2024,8,August,Aadi,RS Puram,Silk Saree,Premium,Walk-in,20,23,287756.02,69061.46
FY2024-25,2024,8,August,Aadi,RS Puram,Silk Saree,Premium,WhatsApp Order,6,12,145182.56,34843.82
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Accessories,Value,Exhibition Stall,35,39,15965.1,7343.95
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Accessories,Value,Online,25,28,12484.51,5742.88
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Accessories,Value,Walk-in,108,124,53012.83,24385.89
