customer_id,last_purchase,first_purchase,frequency,monetary,recency_days,tenure_days,avg_gap_days,expected_gap,overdue_ratio,R,F,M,rfm_score,avg_order_value,segment
C00660,2026-03-04,2024-04-27,28,147905.97,27,703,26.037037037037038,26.037037037037038,1.04,3,5,5,13,5282.36,"Big spender, low frequency - upsell events"
C00033,2026-03-25,2024-04-28,31,147718.9,6,702,23.4,23.4,0.26,5,5,5,15,4765.13,Champions - protect
C02094,2026-02-09,2024-06-28,22,147621.84,50,641,30.523809523809526,30.523809523809526,1.64,2,4,5,11,6710.08,Loyal but slipping - reactivate
C00481,2026-03-01,2024-04-20,24,147594.04,30,710,30.869565217391305,30.869565217391305,0.97,3,4,5,12,6149.75,"Big spender, low frequency - upsell events"
C00293,2026-02-15,2024-04-10,24,147412.65,44,720,31.304347826086957,31.304347826086957,1.41,2,4,5,11,6142.19,Loyal but slipping - reactivate
C02509,2026-03-31,2024-04-06,31,147269.01,0,724,24.133333333333333,24.133333333333333,0.0,5,5,5,15,4750.61,Champions - protect
C02522,2026-03-03,2024-04-13,23,147207.52000000002,28,717,32.59090909090909,32.59090909090909,0.86,3,4,5,12,6400.33,"Big spender, low frequency - upsell events"
C02453,2026-03-06,2024-04-24,26,146900.23,25,706,28.24,28.24,0.89,3,5,5,13,5650.01,"Big spender, low frequency - upsell events"
C00189,2026-02-18,2024-04-26,29,146807.84,41,704,25.142857142857142,25.142857142857142,1.63,2,5,5,12,5062.34,Loyal but slipping - reactivate
C00175,2026-02-26,2024-04-23,21,145831.38,33,707,35.35,35.35,0.93,2,3,5,10,6944.35,"Big spender, low frequency - upsell events"
C02290,2026-02-25,2024-04-27,27,144958.72,34,703,27.03846153846154,27.03846153846154,1.26,2,5,5,12,5368.84,Loyal but slipping - reactivate
C01718,2026-03-25,2024-04-10,39,144760.83,6,720,18.94736842105263,18.94736842105263,0.32,5,5,5,15,3711.82,Champions - protect
C00311,2026-03-20,2024-04-20,30,144535.13,11,710,24.482758620689655,24.482758620689655,0.45,4,5,5,14,4817.84,Champions - protect
C01926,2026-03-08,2024-04-01,23,143736.81,23,729,33.13636363636363,33.13636363636363,0.69,3,4,5,12,6249.43,"Big spender, low frequency - upsell events"
C00356,2026-02-17,2024-08-29,17,143610.14,42,579,36.1875,36.1875,1.16,2,1,5,8,8447.66,"Big spender, low frequency - upsell events"
C02000,2026-01-30,2024-04-08,32,143454.34,60,722,23.29032258064516,23.29032258064516,2.58,1,5,5,11,4482.95,"High value, overdue - call them"
C02386,2026-03-13,2024-07-29,22,141543.99,18,610,29.047619047619047,29.047619047619047,0.62,3,4,5,12,6433.82,"Big spender, low frequency - upsell events"
C02548,2026-03-14,2024-04-06,26,141029.95,17,724,28.96,28.96,0.59,4,5,5,14,5424.23,Champions - protect
C01105,2026-01-02,2024-04-04,29,140955.32,88,726,25.928571428571427,25.928571428571427,3.39,1,5,5,11,4860.53,"High value, overdue - call them"
C02026,2025-12-30,2024-04-04,23,140941.97,91,726,33.0,33.0,2.76,1,4,5,10,6127.91,"High value, overdue - call them"
C01762,2026-03-23,2024-04-18,27,139962.26,8,712,27.384615384615383,27.384615384615383,0.29,4,5,5,14,5183.79,Champions - protect
C02049,2026-01-14,2024-04-13,21,139865.5,76,717,35.85,35.85,2.12,1,3,5,9,6660.26,"High value, overdue - call them"
C01350,2026-03-31,2024-04-05,30,139847.68,0,725,25.0,25.0,0.0,5,5,5,15,4661.59,Champions - protect
C00434,2026-02-27,2024-04-05,18,139832.26,32,725,42.64705882352941,42.64705882352941,0.75,2,2,5,9,7768.46,"Big spender, low frequency - upsell events"
C00103,2026-03-24,2024-04-27,30,139630.91999999998,7,703,24.24137931034483,24.24137931034483,0.29,4,5,5,14,4654.36,Champions - protect
C01964,2026-03-19,2024-04-05,21,139607.69,12,725,36.25,36.25,0.33,4,3,5,12,6647.99,"Big spender, low frequency - upsell events"
C02329,2026-03-11,2024-04-19,27,139237.43,20,711,27.346153846153847,27.346153846153847,0.73,3,5,5,13,5156.94,"Big spender, low frequency - upsell events"
C02348,2026-03-16,2024-04-26,27,138605.77000000002,15,704,27.076923076923077,27.076923076923077,0.55,4,5,5,14,5133.55,Champions - protect
C02492,2026-03-16,2024-07-11,20,138420.87,15,628,33.05263157894737,33.05263157894737,0.45,4,3,5,12,6921.04,"Big spender, low frequency - upsell events"
C02148,2026-02-13,2024-04-06,26,138113.81,46,724,28.96,28.96,1.59,2,5,5,12,5312.07,Loyal but slipping - reactivate
C00315,2026-02-16,2024-04-21,26,138061.27,43,709,28.36,28.36,1.52,2,5,5,12,5310.05,Loyal but slipping - reactivate
C02496,2026-03-04,2024-04-23,28,136818.32,27,707,26.185185185185187,26.185185185185187,1.03,3,5,5,13,4886.37,"Big spender, low frequency - upsell events"
C02530,2026-03-28,2024-04-11,29,136729.86000000002,3,719,25.678571428571427,25.678571428571427,0.12,5,5,5,15,4714.82,Champions - protect
C00403,2026-03-10,2024-11-04,19,136609.73,21,512,28.444444444444443,28.444444444444443,0.74,3,2,5,10,7189.99,"Big spender, low frequency - upsell events"
C01434,2026-02-20,2024-04-27,30,135941.88,39,703,24.24137931034483,24.24137931034483,1.61,2,5,5,12,4531.4,Loyal but slipping - reactivate
C01673,2026-01-26,2024-04-09,27,135792.86,64,721,27.73076923076923,27.73076923076923,2.31,1,5,5,11,5029.37,"High value, overdue - call them"
C00151,2026-02-21,2024-04-20,30,135389.58,38,710,24.482758620689655,24.482758620689655,1.55,2,5,5,12,4512.99,Loyal but slipping - reactivate
C01613,2026-03-16,2024-05-31,25,135111.28,15,669,27.875,27.875,0.54,4,4,5,13,5404.45,Champions - protect
C01405,2025-12-16,2024-06-14,30,134621.07,105,655,22.586206896551722,22.586206896551722,4.65,1,5,5,11,4487.37,"High value, overdue - call them"
C00400,2026-03-11,2024-10-13,21,134245.5,20,534,26.7,26.7,0.75,3,3,5,11,6392.64,"Big spender, low frequency - upsell events"
C01994,2026-03-22,2024-04-11,18,134200.71,9,719,42.294117647058826,42.294117647058826,0.21,4,2,5,11,7455.59,New - convert to second purchase
C00061,2026-03-04,2024-05-12,27,133882.62,27,688,26.46153846153846,26.46153846153846,1.02,3,5,5,13,4958.62,"Big spender, low frequency - upsell events"
C01074,2026-02-01,2024-04-21,25,133361.88,58,709,29.541666666666668,29.541666666666668,1.96,1,4,5,10,5334.48,Loyal but slipping - reactivate
C00534,2026-03-19,2024-04-28,20,133329.48,12,702,36.94736842105263,36.94736842105263,0.32,4,2,5,11,6666.47,New - convert to second purchase
C02416,2026-03-29,2024-05-08,32,132401.22,2,692,22.322580645161292,22.322580645161292,0.09,5,5,5,15,4137.54,Champions - protect
C01106,2026-02-19,2024-04-01,29,132059.25,40,729,26.035714285714285,26.035714285714285,1.54,2,5,5,12,4553.77,Loyal but slipping - reactivate
C01608,2026-03-25,2024-04-20,32,131749.0,6,710,22.903225806451612,22.903225806451612,0.26,5,5,5,15,4117.16,Champions - protect
C01630,2026-01-29,2024-04-04,27,131679.11,61,726,27.923076923076923,27.923076923076923,2.18,1,5,5,11,4877.0,"High value, overdue - call them"
C01837,2026-03-23,2024-04-18,26,131648.04,8,712,28.48,28.48,0.28,4,5,5,14,5063.39,Champions - protect
C01839,2026-01-22,2024-04-20,24,131624.83,68,710,30.869565217391305,30.869565217391305,2.2,1,4,5,10,5484.37,"High value, overdue - call them"
C01384,2026-03-11,2024-04-04,24,131347.44,20,726,31.565217391304348,31.565217391304348,0.63,3,4,5,12,5472.81,"Big spender, low frequency - upsell events"
C00197,2026-03-28,2024-04-17,24,131293.07,3,713,31.0,31.0,0.1,5,4,5,14,5470.54,Champions - protect
C01947,2026-03-05,2024-04-07,26,131220.59,26,723,28.92,28.92,0.9,3,5,5,13,5046.95,"Big spender, low frequency - upsell events"
C02013,2026-03-29,2024-05-16,26,131190.07,2,684,27.36,27.36,0.07,5,5,5,15,5045.77,Champions - protect
C00567,2026-03-05,2024-04-01,22,130600.45999999999,26,729,34.714285714285715,34.714285714285715,0.75,3,3,5,11,5936.38,"Big spender, low frequency - upsell events"
C00072,2026-03-10,2024-04-21,35,130441.14,21,709,20.852941176470587,20.852941176470587,1.01,3,5,5,13,3726.89,"Big spender, low frequency - upsell events"
C02437,2026-03-03,2024-04-05,32,130393.14,28,725,23.387096774193548,23.387096774193548,1.2,3,5,5,13,4074.79,"Big spender, low frequency - upsell events"
C00983,2026-03-26,2024-04-07,34,130337.25,5,723,21.90909090909091,21.90909090909091,0.23,5,5,5,15,3833.45,Champions - protect
C01530,2026-01-31,2024-04-25,20,130130.8,59,705,37.10526315789474,37.10526315789474,1.59,1,2,5,8,6506.54,"Big spender, low frequency - upsell events"
C00821,2026-03-31,2024-04-02,29,129942.72,0,728,26.0,26.0,0.0,5,5,5,15,4480.78,Champions - protect
C01664,2026-03-01,2024-06-06,25,129651.41,30,663,27.625,27.625,1.09,3,4,5,12,5186.06,"Big spender, low frequency - upsell events"
C00681,2026-03-28,2024-04-17,22,129163.61,3,713,33.95238095238095,33.95238095238095,0.09,5,3,5,13,5871.07,"Big spender, low frequency - upsell events"
C01920,2026-03-20,2024-04-05,32,128770.07,11,725,23.387096774193548,23.387096774193548,0.47,4,5,5,14,4024.06,Champions - protect
C00145,2026-03-25,2024-04-14,28,128536.55,6,716,26.51851851851852,26.51851851851852,0.23,5,5,5,15,4590.59,Champions - protect
C00493,2026-03-20,2024-05-04,23,127838.32,11,696,31.636363636363637,31.636363636363637,0.35,4,4,5,13,5558.19,Champions - protect
C01998,2026-03-26,2024-05-02,28,127394.05,5,698,25.85185185185185,25.85185185185185,0.19,5,5,5,15,4549.79,Champions - protect
C01780,2026-03-04,2024-04-24,25,127058.47,27,706,29.416666666666668,29.416666666666668,0.92,3,5,5,13,5082.34,"Big spender, low frequency - upsell events"
C01295,2026-02-21,2024-04-05,24,127036.06,38,725,31.52173913043478,31.52173913043478,1.21,2,4,5,11,5293.17,Loyal but slipping - reactivate
C00459,2026-03-13,2024-04-28,32,126989.15,18,702,22.64516129032258,22.64516129032258,0.79,3,5,5,13,3968.41,"Big spender, low frequency - upsell events"
C01394,2026-02-28,2024-06-14,24,126802.45,31,655,28.47826086956522,28.47826086956522,1.09,3,4,5,12,5283.44,"Big spender, low frequency - upsell events"
C01823,2026-03-14,2024-04-24,33,126663.65,17,706,22.0625,22.0625,0.77,3,5,5,13,3838.29,"Big spender, low frequency - upsell events"
C00711,2026-03-04,2024-04-27,26,126530.95,27,703,28.12,28.12,0.96,3,5,5,13,4866.58,"Big spender, low frequency - upsell events"
C01846,2026-03-13,2024-05-19,28,126049.14,18,681,25.22222222222222,25.22222222222222,0.71,3,5,5,13,4501.76,"Big spender, low frequency - upsell events"
C00754,2026-02-26,2024-04-04,26,125792.34999999999,33,726,29.04,29.04,1.14,2,5,5,12,4838.17,Loyal but slipping - reactivate
C01688,2026-03-03,2024-04-21,26,125664.08,28,709,28.36,28.36,0.99,3,5,5,13,4833.23,"Big spender, low frequency - upsell events"
C01968,2026-01-01,2024-04-17,22,125633.17,89,713,33.95238095238095,33.95238095238095,2.62,1,3,5,9,5710.6,"High value, overdue - call them"
C00194,2026-03-13,2024-05-10,19,125609.5,18,690,38.333333333333336,38.333333333333336,0.47,3,2,5,10,6611.03,"Big spender, low frequency - upsell events"
C01740,2026-03-03,2024-06-09,27,125055.84,28,660,25.384615384615383,25.384615384615383,1.1,3,5,5,13,4631.7,"Big spender, low frequency - upsell events"
C01900,2026-03-29,2024-04-29,29,124969.84,2,701,25.035714285714285,25.035714285714285,0.08,5,5,5,15,4309.3,Champions - protect
C00499,2025-11-20,2024-05-21,16,124788.11,131,679,45.266666666666666,45.266666666666666,2.89,1,1,5,7,7799.26,"High value, overdue - call them"
C02474,2026-02-09,2024-05-07,20,124621.61,50,693,36.473684210526315,36.473684210526315,1.37,2,3,5,10,6231.08,"Big spender, low frequency - upsell events"
C02254,2026-03-18,2024-07-04,22,124572.84000000001,13,635,30.238095238095237,30.238095238095237,0.43,4,4,5,13,5662.4,Champions - protect
C00746,2026-01-13,2024-04-04,27,124473.28,77,726,27.923076923076923,27.923076923076923,2.76,1,5,5,11,4610.12,"High value, overdue - call them"
C01409,2026-03-15,2024-06-02,27,124403.04000000001,16,667,25.653846153846153,25.653846153846153,0.62,4,5,5,14,4607.52,Champions - protect
C00379,2026-03-14,2024-04-14,34,124327.34,17,716,21.696969696969695,21.696969696969695,0.78,3,5,5,13,3656.69,"Big spender, low frequency - upsell events"
C01939,2026-01-29,2024-04-20,28,124150.8,61,710,26.296296296296298,26.296296296296298,2.32,1,5,5,11,4433.96,"High value, overdue - call them"
C00518,2026-01-10,2024-06-28,24,124001.33,80,641,27.869565217391305,27.869565217391305,2.87,1,4,5,10,5166.72,"High value, overdue - call them"
C01011,2026-03-19,2024-05-18,28,123978.9,12,682,25.25925925925926,25.25925925925926,0.48,4,5,5,14,4427.82,Champions - protect
C00608,2026-03-21,2024-04-30,30,123952.03,10,700,24.137931034482758,24.137931034482758,0.41,4,5,5,14,4131.73,Champions - protect
C00892,2026-03-03,2024-06-09,26,123941.71,28,660,26.4,26.4,1.06,3,5,5,13,4766.99,"Big spender, low frequency - upsell events"
C02486,2026-03-27,2024-05-02,25,123470.33,4,698,29.083333333333332,29.083333333333332,0.14,5,5,5,15,4938.81,Champions - protect
C02311,2026-03-17,2024-04-13,31,123200.11,14,717,23.9,23.9,0.59,4,5,5,14,3974.2,Champions - protect
C00932,2026-02-24,2024-04-21,23,123192.86,35,709,32.22727272727273,32.22727272727273,1.09,2,4,5,11,5356.21,Loyal but slipping - reactivate
C00846,2026-03-01,2024-04-22,29,123022.14,30,708,25.285714285714285,25.285714285714285,1.19,3,5,5,13,4242.14,"Big spender, low frequency - upsell events"
C01875,2026-03-23,2024-04-02,25,122957.56,8,728,30.333333333333332,30.333333333333332,0.26,4,5,5,14,4918.3,Champions - protect
C00002,2026-01-10,2024-05-29,21,122882.59000000001,80,671,33.55,33.55,2.38,1,3,5,9,5851.55,"High value, overdue - call them"
C00786,2026-03-15,2024-05-12,25,122880.94,16,688,28.666666666666668,28.666666666666668,0.56,4,4,5,13,4915.24,Champions - protect
C02039,2026-02-01,2024-04-04,23,122869.2,58,726,33.0,33.0,1.76,1,4,5,10,5342.14,Loyal but slipping - reactivate
C00278,2026-01-31,2024-04-11,33,122648.49,59,719,22.46875,22.46875,2.63,1,5,5,11,3716.62,"High value, overdue - call them"
C02087,2026-02-20,2024-04-15,25,122344.25,39,715,29.791666666666668,29.791666666666668,1.31,2,5,5,12,4893.77,Loyal but slipping - reactivate
C02304,2026-03-25,2024-05-08,25,122334.54000000001,6,692,28.833333333333332,28.833333333333332,0.21,5,5,5,15,4893.38,Champions - protect
C01284,2026-03-14,2024-04-20,26,122249.1,17,710,28.4,28.4,0.6,3,5,5,13,4701.89,"Big spender, low frequency - upsell events"
C02178,2026-01-16,2024-04-12,23,122238.67,74,718,32.63636363636363,32.63636363636363,2.27,1,4,5,10,5314.72,"High value, overdue - call them"
C02351,2026-03-22,2024-04-21,36,121447.95,9,709,20.257142857142856,20.257142857142856,0.44,4,5,5,14,3373.55,Champions - protect
C02089,2026-03-25,2024-04-15,24,121401.24,6,715,31.08695652173913,31.08695652173913,0.19,5,4,5,14,5058.38,Champions - protect
C01660,2026-03-13,2024-04-15,32,121345.81,18,715,23.06451612903226,23.06451612903226,0.78,3,5,5,13,3792.06,"Big spender, low frequency - upsell events"
C00925,2026-03-15,2024-04-22,23,121339.72,16,708,32.18181818181818,32.18181818181818,0.5,4,4,5,13,5275.64,Champions - protect
C02375,2026-02-19,2024-04-03,30,120768.22,40,727,25.06896551724138,25.06896551724138,1.6,2,5,5,12,4025.61,Loyal but slipping - reactivate
C02259,2026-02-20,2024-04-22,25,120605.58,39,708,29.5,29.5,1.32,2,5,5,12,4824.22,Loyal but slipping - reactivate
C02247,2026-02-22,2024-04-30,23,120319.23000000001,37,700,31.818181818181817,31.818181818181817,1.16,2,4,5,11,5231.27,Loyal but slipping - reactivate
C02521,2026-03-24,2024-04-20,24,120305.43,7,710,30.869565217391305,30.869565217391305,0.23,5,4,5,14,5012.73,Champions - protect
C01299,2026-01-15,2024-04-15,28,119842.61,75,715,26.48148148148148,26.48148148148148,2.83,1,5,5,11,4280.09,"High value, overdue - call them"
C01067,2026-03-23,2024-06-16,26,119810.71,8,653,26.12,26.12,0.31,4,5,5,14,4608.1,Champions - protect
C01475,2026-03-10,2024-04-26,21,119702.43,21,704,35.2,35.2,0.6,3,3,5,11,5700.12,"Big spender, low frequency - upsell events"
C01541,2026-03-07,2024-04-13,22,119638.36,24,717,34.142857142857146,34.142857142857146,0.7,3,3,5,11,5438.11,"Big spender, low frequency - upsell events"
C00710,2026-01-08,2024-05-10,24,119490.99,82,690,30.0,30.0,2.73,1,4,5,10,4978.79,"High value, overdue - call them"
C02458,2026-01-18,2024-04-16,26,119124.69,72,714,28.56,28.56,2.52,1,5,5,11,4581.72,"High value, overdue - call them"
C00178,2026-01-25,2024-05-23,14,118995.36,65,677,52.07692307692308,52.07692307692308,1.25,1,1,5,7,8499.67,"Big spender, low frequency - upsell events"
C00025,2026-03-29,2024-04-18,25,118796.31,2,712,29.666666666666668,29.666666666666668,0.07,5,4,5,14,4751.85,Champions - protect
C01436,2026-01-26,2024-04-04,19,118795.09,64,726,40.333333333333336,40.333333333333336,1.59,1,2,5,8,6252.37,"Big spender, low frequency - upsell events"
C00992,2026-03-27,2024-05-05,29,118782.8,4,695,24.821428571428573,24.821428571428573,0.16,5,5,5,15,4095.96,Champions - protect
C02494,2026-02-05,2024-10-03,24,118713.74,54,544,23.652173913043477,23.652173913043477,2.28,2,4,5,11,4946.41,"High value, overdue - call them"
C01304,2026-03-10,2024-04-28,25,118584.51,21,702,29.25,29.25,0.72,3,4,5,12,4743.38,"Big spender, low frequency - upsell events"
C00884,2026-02-15,2024-04-07,26,118443.72,44,723,28.92,28.92,1.52,2,5,5,12,4555.53,Loyal but slipping - reactivate
C00375,2026-01-18,2024-04-18,28,118339.32,72,712,26.37037037037037,26.37037037037037,2.73,1,5,5,11,4226.4,"High value, overdue - call them"
C00921,2026-03-01,2024-05-09,25,118245.08,30,691,28.791666666666668,28.791666666666668,1.04,3,4,5,12,4729.8,"Big spender, low frequency - upsell events"
C02576,2026-03-21,2024-06-21,20,117968.36,10,648,34.10526315789474,34.10526315789474,0.29,4,3,5,12,5898.42,"Big spender, low frequency - upsell events"
C00399,2025-12-15,2024-04-10,22,117944.86,106,720,34.285714285714285,34.285714285714285,3.09,1,3,5,9,5361.13,"High value, overdue - call them"
C00701,2026-03-06,2024-04-12,25,117745.18,25,718,29.916666666666668,29.916666666666668,0.84,3,4,5,12,4709.81,"Big spender, low frequency - upsell events"
C02562,2026-03-15,2024-04-13,24,117662.73000000001,16,717,31.17391304347826,31.17391304347826,0.51,4,4,5,13,4902.61,Champions - protect
C00386,2026-03-09,2024-04-19,33,117591.85,22,711,22.21875,22.21875,0.99,3,5,5,13,3563.39,"Big spender, low frequency - upsell events"
C00091,2026-03-16,2024-05-02,20,117466.28,15,698,36.73684210526316,36.73684210526316,0.41,4,2,5,11,5873.31,New - convert to second purchase
C01746,2026-02-01,2024-04-12,18,117462.75,58,718,42.23529411764706,42.23529411764706,1.37,1,2,5,8,6525.71,"Big spender, low frequency - upsell events"
C02326,2026-03-08,2024-04-09,24,117453.59,23,721,31.347826086956523,31.347826086956523,0.73,3,4,5,12,4893.9,"Big spender, low frequency - upsell events"
C00735,2026-02-26,2024-06-14,23,117231.41,33,655,29.772727272727273,29.772727272727273,1.11,2,4,5,11,5097.02,Loyal but slipping - reactivate
C01257,2026-03-19,2024-04-20,21,117088.04000000001,12,710,35.5,35.5,0.34,4,3,5,12,5575.62,"Big spender, low frequency - upsell events"
C01087,2026-03-27,2024-05-11,24,116997.01,4,689,29.956521739130434,29.956521739130434,0.13,5,4,5,14,4874.88,Champions - protect
C02556,2026-03-16,2024-04-06,29,116880.35,15,724,25.857142857142858,25.857142857142858,0.58,4,5,5,14,4030.36,Champions - protect
C01695,2026-03-16,2024-04-03,28,116751.71,15,727,26.925925925925927,26.925925925925927,0.56,4,5,5,14,4169.7,Champions - protect
C00394,2026-02-19,2024-05-16,22,116742.04000000001,40,684,32.57142857142857,32.57142857142857,1.23,2,3,5,10,5306.46,"Big spender, low frequency - upsell events"
C01797,2026-03-20,2024-07-14,19,116724.38,11,625,34.72222222222222,34.72222222222222,0.32,4,2,5,11,6143.39,New - convert to second purchase
C00989,2026-03-27,2024-07-12,24,116649.19,4,627,27.26086956521739,27.26086956521739,0.15,5,4,5,14,4860.38,Champions - protect
C00203,2026-01-24,2024-05-27,30,116435.15000000001,66,673,23.20689655172414,23.20689655172414,2.84,1,5,5,11,3881.17,"High value, overdue - call them"
C00163,2026-03-06,2024-04-07,31,116324.38,25,723,24.1,24.1,1.04,3,5,5,13,3752.4,"Big spender, low frequency - upsell events"
C01280,2026-03-07,2024-04-04,28,116221.89,24,726,26.88888888888889,26.88888888888889,0.89,3,5,5,13,4150.78,"Big spender, low frequency - upsell events"
C01195,2026-02-15,2024-06-05,18,116098.33,44,664,39.05882352941177,39.05882352941177,1.13,2,2,5,9,6449.91,"Big spender, low frequency - upsell events"
C01203,2026-03-20,2024-04-05,21,116037.02,11,725,36.25,36.25,0.3,4,3,5,12,5525.57,"Big spender, low frequency - upsell events"
C02209,2026-03-15,2024-04-18,26,115941.05,16,712,28.48,28.48,0.56,4,5,5,14,4459.27,Champions - protect
C01767,2026-03-25,2024-04-24,23,115808.36,6,706,32.09090909090909,32.09090909090909,0.19,5,4,5,14,5035.15,Champions - protect
C00282,2026-03-30,2024-04-01,26,115547.55,1,729,29.16,29.16,0.03,5,5,5,15,4444.14,Champions - protect
C00781,2026-03-29,2024-05-20,23,115465.34,2,680,30.90909090909091,30.90909090909091,0.06,5,4,5,14,5020.23,Champions - protect
C00458,2026-03-01,2024-05-18,18,115208.47,30,682,40.11764705882353,40.11764705882353,0.75,3,2,5,10,6400.47,"Big spender, low frequency - upsell events"
C00246,2026-03-03,2024-04-22,23,115176.47,28,708,32.18181818181818,32.18181818181818,0.87,3,4,5,12,5007.67,"Big spender, low frequency - upsell events"
C01735,2026-01-28,2024-05-06,21,115168.42,62,694,34.7,34.7,1.79,1,3,5,9,5484.21,"Big spender, low frequency - upsell events"
C01711,2026-02-07,2024-04-06,33,114988.7,52,724,22.625,22.625,2.3,2,5,5,12,3484.51,"High value, overdue - call them"
C00414,2026-03-06,2024-04-08,26,114926.21,25,722,28.88,28.88,0.87,3,5,5,13,4420.24,"Big spender, low frequency - upsell events"
C00085,2026-03-14,2024-04-16,22,114908.65,17,714,34.0,34.0,0.5,3,3,5,11,5223.12,"Big spender, low frequency - upsell events"
C02298,2026-03-05,2024-04-25,27,114780.12,26,705,27.115384615384617,27.115384615384617,0.96,3,5,5,13,4251.12,"Big spender, low frequency - upsell events"
